tema;ano;texto;enunciado;op_a;op_b;op_c;op_d;op_e;gabarito;explicacao
sintaxe;2023;;Na oração 'O Oficial entregou os documentos ao marinheiro.', qual é a função sintática do termo 'ao marinheiro'?;A) Objeto Direto;B) Objeto Indireto;C) Adjunto Adverbial;D) Complemento Nominal;E) Adjunto Adnominal;1;O termo é um Objeto Indireto pois completa o sentido do verbo transitivo direto e indireto 'entregar', regido pela preposição 'a'.
interpretacao;2023;"""O mar não está para peixe"", diz o adágio popular. No Brasil contemporâneo, a expressão encontra eco numa realidade onde a insegurança alimentar atinge milhões. Segundo dados recentes, cerca de 33 milhões de pessoas passam fome no país, ao mesmo tempo em que o Brasil figura entre os maiores exportadores de alimentos do mundo. Esse paradoxo revela tensões profundas entre o modelo agroexportador e as necessidades da população interna.";Segundo o texto, qual paradoxo é apontado pelo autor?;A) O Brasil exporta peixes, mas sua população não tem acesso ao alimento.;B) O país é grande exportador de alimentos, mas milhões de brasileiros passam fome.;C) A insegurança alimentar é causada exclusivamente pelo modelo agroexportador.;D) O adágio popular reflete com precisão a realidade econômica brasileira.;E) O Brasil importa mais alimentos do que exporta, gerando fome interna.;1;O paradoxo reside no fato de o país ser um gigante na exportação de comida e, simultaneamente, possuir milhões de cidadãos em situação de fome extrema.
semantica;2025;Mesmo que o esqueça daqui a uns minutos (...).;A locução destacada pode ser substituída, sem alterar o sentido do trecho, por:;A) Nem que.;B) Consoante.;C) Ao passo que.;D) Desde que.;E) Até que.;0;A locução 'Mesmo que' possui valor concessivo. A única alternativa que também apresenta essa mesma relação de sentido é 'Nem que'.
morfologia;2025;;Assinale a opção em que o termo retomado pelo pronome relativo 'que' foi destacado corretamente.;A) '...com que se entregariam duas compreensões.';B) '...é a exiguidade do corpo que o permite manter-se quente...';C) 'A água salgada é de um frio que lhe arrepia em ritual as pernas.';D) '...como no amor em que a oposição pode ser um pedido.';E) '...menos sofrega e menos aguda. Agora sabe o que quer.';4;Na opção E, o 'que' funciona como pronome relativo retomando o pronome demonstrativo 'o' (equivalente a 'aquilo'), atuando como objeto direto de 'quer'.
ortografia;2025;Por que é que um cão é tão livre? Porque ele é o mistério vivo que não se indaga.;O uso dos vocábulos destacados foi feito corretamente. Assinale a opção em que o emprego do termo sublinhado também foi realizado de forma correta.;A) Por que tinha medo, preferiu não ir de avião.;B) A maneira por que ele falava é que era apaixonada.;C) Este é o amigo porque me arrisquei tanto e era um falso.;D) A funcionária foi demitida e não entendeu porquê.;E) Não entendi o por quê da sua decisão.;3;A opção D está correta, pois a forma 'porquê' (junto e com acento) deve ser usada quando grafada no final de frases ou isolada, funcionando como um substantivo.
interpretacao;2025;;Assinale a opção que apresenta a sentença transcrita em que há, no contexto, a correta correspondência entre o termo destacado e o referente a ele atribuído.;A) '...Ele só lhe é delimitado pela linha do horizonte...' - mar;B) '...porque é a exiguidade do corpo que o permite...' - corpo;C) '...que a torna pobre e livre gente...' - exiguidade;D) '...É fatal não se conhecer...' - fatal;E) '...tudo líquido, deixam-na por uns instantes cega...' - ela;4;O pronome oblíquo 'na' em 'deixam-na' refere-se de forma direta a 'ela' (a mulher), protagonista do texto.
semantica;2025;Seu corpo se consola com sua própria exiguidade (...).;Assinale a opção na qual se observa uma relação de sinonimia com o termo destacado no fragmento acima.;A) Significância.;B) Serenidade.;C) Equidade.;D) Incipiência.;E) Pequenez.;4;O termo 'exiguidade' indica o estado do que é exíguo, ou seja, pequeno ou diminuto, tornando 'pequenez' o seu sinônimo perfeito.
sintaxe;2025;O sal, o iodo, tudo liquido, deixam-na por uns instantes cega;Assinale a opção em que a forma verbal destacada possui a mesma transitividade do vocábulo sublinhado no trecho acima.;A) Contentar-se com a sorte que não vem de jeito nenhum.;B) Ao dono da loja assiste razão de gabar-se do grande feito.;C) O persistente devoto chamou pela Virgem sua madrinha.;D) O homem comum não responderia o que ele me responde.;E) Naquela noite, ele saiu da casa sem olhar para trás.;3;O verbo 'deixar' no contexto é Transitivo Direto (VTD). A alternativa D traz o verbo 'responder' também empregado como Transitivo Direto.
sintaxe;2025;Esse corpo entrará no ilimitado frio (...).;Assinale a opção em que o termo destacado exerce a mesma função sintática que a do trecho sublinhado acima.;A) '...que lhe arrepia em ritual as pernas...';B) '...a alegria é uma fatalidade...';C) '...o caminho lento aumenta sua coragem secreta...';D) '...Avançando, ela abre o mar pelo meio...';E) '...Sabe que está brilhando de água, e sal e sol...';3;O termo 'no ilimitado frio' atua como adjunto adverbial de lugar. Na alternativa D, a expressão 'pelo meio' também exerce a função sintática de adjunto adverbial.
sintaxe;2025;O cheiro é de uma maresia tonteante que a desperta de seus mais adormecidos sonos seculares.;Assinale a opção em que o termo destacado exerce o mesmo tipo de função sintática que a do vocábulo sublinhado no trecho acima.;A) Essa é a cidade onde passei minha infância.;B) Essa é a menina cujo pai trabalha nesta empresa.;C) O autor escreveu um livro que todos elogiaram.;D) Foi o engenheiro quem determinou a execução da obra.;E) Chegou o grande médico que todos esperavam.;3;Na frase principal, o pronome relativo 'que' atua como sujeito. Na alternativa D, o pronome 'quem' exerce exatamente o mesmo papel de sujeito da oração.
